,year,winner_name,winner_flag,winner_photo,winner_url,climber_name,climber_flag,climber_photo,climber_url,sprinter_flag,sprinter_name,sprinter_photo,sprinter_url,year_url,young_flag,young_name,young_photo,young_url,img_map,winning_team,distance,etapes,speed,winner,etape_moyenne,climber_image,sprinter_image,winner_image,young_image
0,1903,Maurice Garin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Maurice_Garin_au_Paris-Roubaix_1897.jpg/260px-Maurice_Garin_au_Paris-Roubaix_1897.jpg,https://fr.wikipedia.org/wiki/Maurice_Garin,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1903,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Tour_de_France_1904_map-fr.svg/260px-Tour_de_France_1904_map-fr.svg.png,La Française,2428.0,6.0,25.679,Maurice Garin,404.67,,,Maurice_Garin.jpeg,
1,1904,Henri Cornet,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/d/d2/Henri_Cornet.jpg,https://fr.wikipedia.org/wiki/Henri_Cornet,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1904,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Tour_de_France_1904_map-fr.svg/260px-Tour_de_France_1904_map-fr.svg.png,Cycles Le Globe,2428.0,6.0,25.265,Henri Cornet,404.67,,,Henri_Cornet.jpeg,
2,1905,Louis Trousselier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/7/70/Louis_Trousselier.jpg,https://fr.wikipedia.org/wiki/Louis_Trousselier,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1905,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Tour_de_France_1905_map-fr.svg/260px-Tour_de_France_1905_map-fr.svg.png,Peugeot,2994.0,11.0,27.107,Louis Trousselier,272.18,,,Louis_Trousselier.jpeg,
3,1906,René Pottier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Ren%C3%A9_Pottier.jpg/260px-Ren%C3%A9_Pottier.jpg,https://fr.wikipedia.org/wiki/Ren%C3%A9_Pottier_(cyclisme),,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1906,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tour_de_France_1906_map-fr.svg/260px-Tour_de_France_1906_map-fr.svg.png,Peugeot,4637.0,13.0,24.463,René Pottier,356.69,,,Rene_Pottier.jpeg,
4,1907,Lucien Petit-Breton,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Lucien_Mazan.jpg/260px-Lucien_Mazan.jpg,https://fr.wikipedia.org/wiki/Lucien_Petit-Breton,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1907,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tour_de_France_1907_map-fr.svg/260px-Tour_de_France_1907_map-fr.svg.png,Peugeot,4488.0,14.0,28.47,Lucien Petit-Breton,320.57,,,Lucien_Petit-Breton.jpeg,
5,1908,Lucien Petit-Breton,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Lucien_Mazan.jpg/260px-Lucien_Mazan.jpg,https://fr.wikipedia.org/wiki/Lucien_Petit-Breton,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1908,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tour_de_France_1907_map-fr.svg/260px-Tour_de_France_1907_map-fr.svg.png,Peugeot,4488.0,14.0,28.74,Lucien Petit-Breton,320.57,,,Lucien_Petit-Breton.jpeg,
6,1909,François Faber,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/20px-Flag_of_Luxembourg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Fran%C3%A7ois_Faber_-_Paris-Roubaix_1913.jpeg/260px-Fran%C3%A7ois_Faber_-_Paris-Roubaix_1913.jpeg,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Faber,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1909,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tour_de_France_1907_map-fr.svg/260px-Tour_de_France_1907_map-fr.svg.png,Alcyon,4497.0,14.0,28.658,François Faber,321.21,,,Francois_Faber.jpeg,
7,1910,Octave Lapize,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Octave_Lapize_1913.jpg/260px-Octave_Lapize_1913.jpg,https://fr.wikipedia.org/wiki/Octave_Lapize,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1910,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Tour_de_France_1910_map-fr.svg/260px-Tour_de_France_1910_map-fr.svg.png,Alcyon,4734.0,15.0,29.099,Octave Lapize,315.6,,,Octave_Lapize.jpeg,
8,1911,Gustave Garrigou,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/20px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Gustave_Garrigou_premier_champion_de_France_de_cyclisme_sur_route_en_1907_sur_Peugeot.jpg/260px-Gustave_Garrigou_premier_champion_de_France_de_cyclisme_sur_route_en_1907_sur_Peugeot.jpg,https://fr.wikipedia.org/wiki/Gustave_Garrigou,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1911,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Tour_de_France_1911_map-fr.svg/260px-Tour_de_France_1911_map-fr.svg.png,Alcyon,5343.0,15.0,27.322,Gustave Garrigou,356.2,,,Gustave_Garrigou.jpeg,
9,1912,Odile Defraye,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/20px-Flag_of_Belgium_%28civil%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Odile_Defraye.jpg/260px-Odile_Defraye.jpg,https://fr.wikipedia.org/wiki/Odile_Defraye,,,,,,,,,https://fr.wikipedia.org/wiki/Tour_de_France_1912,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Tour_de_France_1911_map-fr.svg/260px-Tour_de_France_1911_map-fr.svg.png,Alcyon,5289.0,15.0,27.763,Odile Defraye,352.6,,,Odile_Defraye.jpeg,
